The Dirt	2019	7.0	Douglas Booth*Iwan Rheon*Daniel Webber*Machine Gun Kelly
Someone Great	2019	6.1	Gina Rodriguez*LaKeith Stanfield*Brittany Snow*DeWanda Wise
Captain America: The Winter Soldier	2014	7.8	Chris Evans*Samuel L. Jackson*Scarlett Johansson*Robert Redford
The Shawshank Redemption	1994	9.3	Tim Robbins*Morgan Freeman*Bob Gunton*William Sadler
Mary Poppins Returns	2018	6.9	Emily Blunt*Lin-Manuel Miranda*Ben Whishaw*Emily Mortimer
Dragged Across Concrete	2018	7.1	Mel Gibson*Vince Vaughn*Tory Kittles*Michael Jai White
Suicide Squad	2016	6.1	Will Smith*Jared Leto*Margot Robbie*Viola Davis
Thor: The Dark World	2013	6.9	Chris Hemsworth*Natalie Portman*Tom Hiddleston*Stellan Skarsgård
Baywatch	2017	5.6	Dwayne Johnson*Zac Efron*Alexandra Daddario*Priyanka Chopra
Avatar	2009	7.8	Sam Worthington*Zoe Saldana*Sigourney Weaver*Michelle Rodriguez
Triple Frontier	2019	6.5	Ben Affleck*Oscar Isaac*Charlie Hunnam*Garrett Hedlund
How to Train Your Dragon: The Hidden World	2019	7.6	Jay Baruchel*America Ferrera*F. Murray Abraham*Cate Blanchett
The Favourite	2018	7.6	Olivia Colman*Emma Stone*Rachel Weisz*Nicholas Hoult
Pulp Fiction	1994	8.9	John Travolta*Uma Thurman*Samuel L. Jackson*Bruce Willis
The Dark Knight	2008	9.0	Christian Bale*Heath Ledger*Aaron Eckhart*Michael Caine
The Greatest Showman	2017	7.6	Hugh Jackman*Michelle Williams*Zac Efron*Zendaya
Split	2016	7.3	James McAvoy*Anya Taylor-Joy*Haley Lu Richardson*Jessica Sula
The Silence	2019	5.2	Stanley Tucci*Kiernan Shipka*Miranda Otto*Kate Trotter
Venom	2018	6.7	Tom Hardy*Michelle Williams*Riz Ahmed*Scott Haze
Alita: Battle Angel	2019	7.5	Rosa Salazar*Christoph Waltz*Jennifer Connelly*Mahershala Ali
Get Out	2017	7.7	Daniel Kaluuya*Allison Williams*Bradley Whitford*Catherine Keener
Happy Death Day 2U	2019	6.3	Jessica Rothe*Israel Broussard*Phi Vu*Suraj Sharma
Justice League	2017	6.5	Ben Affleck*Gal Gadot*Jason Momoa*Ezra Miller
Iron Man 2	2010	7.0	Robert Downey Jr.*Mickey Rourke*Gwyneth Paltrow*Don Cheadle
The Upside	2017	6.6	Kevin Hart*Bryan Cranston*Nicole Kidman*Aja Naomi King
Mid90s	2018	7.4	Sunny Suljic*Katherine Waterston*Lucas Hedges*Na-kel Smith
Ocean's Eight	2018	6.2	Sandra Bullock*Cate Blanchett*Anne Hathaway*Mindy Kaling
